"product_id","brand_name","gender_category","category_name","title","price","sale_price","product_link","image_link","image_link2","rating","status","datee","detail","brand_id","category_id","gender_id","overview"
"69","khaadi","female","kameezshalwar_unstitched","Kameez Dupatta","2390","1670","https://pk.khaadi.com/m2103038-green-m2103038-green-pk.html","https://pk.khaadi.com/media/catalog/product/m/2/m2103038_green_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/m/2/m2103038_green_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","5","1","khaadi female kameezshalwar_unstitched Kameez Dupatta female"
"70","khaadi","female","kameezshalwar_stitched","Pants","1490","1040","https://pk.khaadi.com/eepe21105-blue-eepe21105-blue-pk.html","https://pk.khaadi.com/media/catalog/product/e/e/eepe21105_blue_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/e/eepe21105_blue_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","4","1","khaadi female kameezshalwar_stitched Pants female"
"71","khaadi","female","kameezshalwar_unstitched","Kameez Dupatta","2590","1810","https://pk.khaadi.com/m2103040-red-m2103040-red-pk.html","https://pk.khaadi.com/media/catalog/product/m/2/m2103040_red_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/m/2/m2103040_red_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","5","1","khaadi female kameezshalwar_unstitched Kameez Dupatta female"
"72","khaadi","female","kameezshalwar_stitched","Shalwar","1390","970","https://pk.khaadi.com/eete21316b-yellow-eete21316b-yellow-pk.html","https://pk.khaadi.com/media/catalog/product/e/e/eete21316b_yellow_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/e/eete21316b_yellow_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","4","1","khaadi female kameezshalwar_stitched Shalwar female"
"73","khaadi","female","kameezshalwar_unstitched","Kameez Dupatta","2890","2020","https://pk.khaadi.com/m21213-blue-m21213-blue-pk.html","https://pk.khaadi.com/media/catalog/product/m/2/m21213_blue_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/m/2/m21213_blue_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","5","1","khaadi female kameezshalwar_unstitched Kameez Dupatta female"
"74","khaadi","female","kameezshalwar_stitched","Kurta","2290","1600","https://pk.khaadi.com/eete21319-blue-eete21319-blue-pk.html","https://pk.khaadi.com/media/catalog/product/e/e/eete21319_blue_1_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/e/eete21319_blue_2_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","4","1","khaadi female kameezshalwar_stitched Kurta female"
"75","khaadi","female","kameezshalwar_unstitched","Kameez Dupatta","2590","1810","https://pk.khaadi.com/mb21118-purple-mb21118-purple-pk.html","https://pk.khaadi.com/media/catalog/product/m/b/mb21118_purple_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/m/b/mb21118_purple_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","5","1","khaadi female kameezshalwar_unstitched Kameez Dupatta female"
"76","khaadi","female","kameezshalwar_stitched","Dupatta","1290","900","https://pk.khaadi.com/eskde21207s-purple-eskde21207s-purple-pk.html","https://pk.khaadi.com/media/catalog/product/e/s/eskde21207s_purple_1_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/s/eskde21207s_purple_2_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","4","1","khaadi female kameezshalwar_stitched Dupatta female"
"77","khaadi","female","kameezshalwar_unstitched","Full Suit","2490","1740","https://pk.khaadi.com/a2104036-beige-a2104036-beige-pk.html","https://pk.khaadi.com/media/catalog/product/a/2/a2104036_beige_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/a/2/a2104036_beige_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","5","1","khaadi female kameezshalwar_unstitched Full Suit female"
"78","khaadi","female","kameezshalwar_stitched","Pants","1490","1040","https://pk.khaadi.com/espe21105-blue-espe21105-blue-pk.html","https://pk.khaadi.com/media/catalog/product/e/s/espe21105_blue_1_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/s/espe21105_blue_2_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","5","avb","2021-10-23",NULL,"1","4","1","khaadi female kameezshalwar_stitched Pants female"
