,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
53,['WARDA'],['SOLOTO'],0.022727273,0.022727273,0.011363636,0.5,22,0.010847107,1.954545455
54,['BATA'],['STYLO'],0.022727273,0.147727273,0.022727273,1,6.769230769,0.019369835,inf
55,['WARDA'],['STYLO'],0.022727273,0.147727273,0.011363636,0.5,3.384615385,0.008006198,1.704545455
56,['WARDA'],['KHAADI'],0.068181818,0.272727273,0.034090909,0.5,1.833333333,0.015495868,1.454545455
57,['KAYSERIA'],['KHAADI'],0.045454545,0.272727273,0.034090909,0.75,2.75,0.021694215,2.909090909
58,"['ALKARAMSTUDIO', ' BORJAN']",['BONANZA'],0.022727273,0.261363636,0.011363636,0.5,1.913043478,0.005423554,1.477272727
59,"['ALKARAMSTUDIO', 'GULAHMED']",['BONANZA'],0.045454545,0.261363636,0.022727273,0.5,1.913043478,0.010847107,1.477272727
60,"['ALKARAMSTUDIO', 'BONANZA']",['MARIA.B'],0.056818182,0.136363636,0.034090909,0.6,4.4,0.026342975,2.159090909
61,"['ALKARAMSTUDIO', 'MARIA.B']",['BONANZA'],0.045454545,0.261363636,0.034090909,0.75,2.869565217,0.022210744,2.954545455
62,"['BONANZA', 'MARIA.B']",['ALKARAMSTUDIO'],0.034090909,0.136363636,0.034090909,1,7.333333333,0.029442149,inf
63,"['ALKARAMSTUDIO', 'KAYSERIA']",['BONANZA'],0.011363636,0.261363636,0.011363636,1,3.826086957,0.008393595,inf
64,"['BONANZA', 'KAYSERIA']",['ALKARAMSTUDIO'],0.022727273,0.136363636,0.011363636,0.5,3.666666667,0.008264463,1.727272727
65,"['CHENONE', 'ALKARAMSTUDIO']",['BONANZA'],0.022727273,0.261363636,0.022727273,1,3.826086957,0.01678719,inf
66,"['LIMELIGHT', 'ALKARAMSTUDIO']",['BONANZA'],0.022727273,0.261363636,0.022727273,1,3.826086957,0.01678719,inf
67,"['LIMELIGHT', 'BONANZA']",['ALKARAMSTUDIO'],0.034090909,0.136363636,0.022727273,0.666666667,4.888888889,0.018078512,2.590909091
68,"['ALKARAMSTUDIO', ' BORJAN']",['GULAHMED'],0.022727273,0.193181818,0.011363636,0.5,2.588235294,0.00697314,1.613636364
69,"['ALKARAMSTUDIO', ' BORJAN']",['HUSHPUPPIES'],0.022727273,0.170454545,0.011363636,0.5,2.933333333,0.007489669,1.659090909
70,"['ALKARAMSTUDIO', 'NISHATLINEN']",[' BORJAN'],0.011363636,0.272727273,0.011363636,1,3.666666667,0.008264463,inf
71,"['ALKARAMSTUDIO', ' BORJAN']",['NISHATLINEN'],0.022727273,0.079545455,0.011363636,0.5,6.285714286,0.009555785,1.840909091
72,"['CHENONE', 'ALKARAMSTUDIO']",[' BORJAN'],0.022727273,0.272727273,0.011363636,0.5,1.833333333,0.005165289,1.454545455
73,"['ALKARAMSTUDIO', ' BORJAN']",['CHENONE'],0.022727273,0.193181818,0.011363636,0.5,2.588235294,0.00697314,1.613636364
74,"['ALKARAMSTUDIO', 'Junaid Jamshad']",[' BORJAN'],0.011363636,0.272727273,0.011363636,1,3.666666667,0.008264463,inf
75,"['ALKARAMSTUDIO', ' BORJAN']",['Junaid Jamshad'],0.022727273,0.079545455,0.011363636,0.5,6.285714286,0.009555785,1.840909091
76,"['HUSH_PUPPIES', 'GULAHMED']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
77,"['ALKARAMSTUDIO', 'MARIA.B']",['GULAHMED'],0.045454545,0.193181818,0.022727273,0.5,2.588235294,0.013946281,1.613636364
78,"['ALKARAMSTUDIO', 'GULAHMED']",['MARIA.B'],0.045454545,0.136363636,0.022727273,0.5,3.666666667,0.016528926,1.727272727
79,"['WARDA', 'ALKARAMSTUDIO']",['GULAHMED'],0.011363636,0.193181818,0.011363636,1,5.176470588,0.009168388,inf
80,"['WARDA', 'GULAHMED']",['ALKARAMSTUDIO'],0.022727273,0.136363636,0.011363636,0.5,3.666666667,0.008264463,1.727272727
81,"['ALKARAMSTUDIO', 'BONANZA']",['GULAHMED'],0.022727273,0.193181818,0.011363636,0.5,2.588235294,0.00697314,1.613636364
82,"['CHENONE', 'ALKARAMSTUDIO']",['GULAHMED'],0.022727273,0.193181818,0.022727273,1,5.176470588,0.018336777,inf
83,"['CHENONE', 'GULAHMED']",['ALKARAMSTUDIO'],0.034090909,0.136363636,0.022727273,0.666666667,4.888888889,0.018078512,2.590909091
84,"['ALKARAMSTUDIO', 'GULAHMED']",['CHENONE'],0.045454545,0.193181818,0.022727273,0.5,2.588235294,0.013946281,1.613636364
85,"['HUSHPUPPIES', 'NISHATLINEN']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
86,"['ALKARAMSTUDIO', 'NISHATLINEN']",['HUSHPUPPIES'],0.011363636,0.170454545,0.011363636,1,5.866666667,0.009426653,inf
87,"['ALKARAMSTUDIO', 'BONANZA']",['HUSHPUPPIES'],0.022727273,0.170454545,0.011363636,0.5,2.933333333,0.007489669,1.659090909
88,"['ALKARAMSTUDIO', 'Junaid Jamshad']",['HUSHPUPPIES'],0.011363636,0.170454545,0.011363636,1,5.866666667,0.009426653,inf
89,"['LIMELIGHT', 'HUSHPUPPIES']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
