"product_id","brand_name","gender_category","category_name","title","price","sale_price","product_link","image_link","image_link2","rating","status","datee","detail","brand_id","category_id","gender_id","overview"
"1023","Gul Ahmed","women","kameezshalwar_unstitched","3PC Unstitched Malmal Suit CLP-129 B","2790","2093","https://www.gulahmedshop.com/3pc-unstitched-malmal-suit-clp-129-b","https://www.gulahmedshop.com/media/catalog/product/e/r/er4regt98uhb4rfc_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/e/r/er4regt98uhb4rfc_3_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","5","1","Gul Ahmed women kameezshalwar_unstitched 3PC Unstitched Malmal Suit CLP-129 B women"
"1024","Gul Ahmed","female","pant","Beige TR-18-22","3495","1748","https://www.gulahmedshop.com/beige-tr-18-22","https://www.gulahmedshop.com/media/catalog/product/i/m/imgl5717_3.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/i/m/imgl5716_3.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","2","1","Gul Ahmed female pant Beige TR-18-22 female"
"1025","Gul Ahmed","female","shoes","Black -IDFT-859","2450","1470","https://www.gulahmedshop.com/black-idft-859","https://www.gulahmedshop.com/media/catalog/product/2/1/215105_1__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/2/1/215105_2__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","11","1","Gul Ahmed female shoes Black -IDFT-859 female"
"1026","Gul Ahmed","female","kameezshalwar_stitched","Dyed Chikankari Shirt GLS-21-308","3990","2993","https://www.gulahmedshop.com/dyed-chikankari-shirt-gls-21-308","https://www.gulahmedshop.com/media/catalog/product/g/l/gls-21-308_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/g/l/gls-21-308_2_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","4","1","Gul Ahmed female kameezshalwar_stitched Dyed Chikankari Shirt GLS-21-308 female"
"1027","Gul Ahmed","female","bags","Gold Mini Bag -IDB-21-10","4599","2760","https://www.gulahmedshop.com/gold-mini-bag-idb-21-10","https://www.gulahmedshop.com/media/catalog/product/2/4/249320_4_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/2/4/249320_5_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","12","1","Gul Ahmed female bags Gold Mini Bag -IDB-21-10 female"
"1028","Gul Ahmed","Male","shirt_pant","Brown Sport Polo PKP-PRINT-05-02","1800","1350","https://www.gulahmedshop.com/brown-sport-polo-pkp-print-05-02","https://www.gulahmedshop.com/media/catalog/product/b/r/brown_sport_polo_pkp-print-05-02_4_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/b/r/brown_sport_polo_pkp-print-05-02_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","3","2","Gul Ahmed Male shirt_pant Brown Sport Polo PKP-PRINT-05-02 Male"
"1029","Gul Ahmed","female","shirt","Boxy T-shirt SLS-21-101 A","990","743","https://www.gulahmedshop.com/boxy-t-shirt-sls-21-101-a","https://www.gulahmedshop.com/media/catalog/product/s/l/sls_21-101_a_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/s/l/sls_21-101_a_4_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","1","1","Gul Ahmed female shirt Boxy T-shirt SLS-21-101 A female"
"1030","Gul Ahmed","Male","kameezshalwar_stitched","Beige Fashion Kurta KS-868","3495","1748","https://www.gulahmedshop.com/beige-fashion-kurta-ks-868","https://www.gulahmedshop.com/media/catalog/product/b/e/beige_fashion_kurta_ks-868_3_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/b/e/beige_fashion_kurta_ks-868_2_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","4","2","Gul Ahmed Male kameezshalwar_stitched Beige Fashion Kurta KS-868 Male"
"1031","Gul Ahmed","Male","kameezshalwar_unstitched","Off White Unstitched Fabric Hi Tex Twill-Crown-UF","7650","4590","https://www.gulahmedshop.com/off-white-unstitched-fabric-hi-tex-twill-crown-uf","https://www.gulahmedshop.com/media/catalog/product/0/a/0a9a1719_2_4.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/0/a/0a9a1722_2_4.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","5","2","Gul Ahmed Male kameezshalwar_unstitched Off White Unstitched Fabric Hi Tex Twill-Crown-UF Male"
"1032","Gul Ahmed","women","kameezshalwar_unstitched","3 PC Unstitched Lawn Printed Embroidered Suit CLP-","2990","2243","https://www.gulahmedshop.com/3-pc-unstitched-lawn-printed-embroidered-suit-clp-98-b","https://www.gulahmedshop.com/media/catalog/product/3/4/34werdsihkjr56gydsubhkjc_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/3/4/34werdsihkjr56gydsubhkjc_4_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","5","1","Gul Ahmed women kameezshalwar_unstitched 3 PC Unstitched Lawn Printed Embroidered Suit CLP-98 B women"
